lat,lon,timestamp,significant_wave_height_m,wave_period_s,swell_height_m,swell_direction_deg
13.166666666666657,73.08333333333331,2026-09-01T00:00:00Z,2.17,9.1,1.61,281.8
13.166666666666657,73.16666666666666,2026-09-01T00:00:00Z,2.17,10.7,1.61,281.9
13.166666666666657,73.25,2026-09-01T00:00:00Z,2.17,14.0,1.61,281.9
13.166666666666657,73.33333333333331,2026-09-01T00:00:00Z,2.17,16.8,1.61,281.3
13.166666666666657,73.41666666666666,2026-09-01T00:00:00Z,2.16,17.3,1.61,281.7
13.166666666666657,73.5,2026-09-01T00:00:00Z,2.14,17.3,1.65,281.8
13.166666666666657,73.58333333333331,2026-09-01T00:00:00Z,2.12,17.3,1.66,281.5
13.166666666666657,73.66666666666666,2026-09-01T00:00:00Z,2.1,17.3,1.24,221.0
13.166666666666657,73.75,2026-09-01T00:00:00Z,2.07,15.3,0.93,221.0
13.166666666666657,73.83333333333331,2026-09-01T00:00:00Z,2.05,12.7,0.83,204.4
13.166666666666657,73.91666666666666,2026-09-01T00:00:00Z,2.02,11.7,0.9,204.5
13.166666666666657,74.0,2026-09-01T00:00:00Z,1.99,11.7,1.21,259.1
13.166666666666657,74.08333333333331,2026-09-01T00:00:00Z,1.96,10.1,1.49,281.7
13.166666666666657,74.16666666666666,2026-09-01T00:00:00Z,1.92,9.2,1.58,281.7
13.166666666666657,74.25,2026-09-01T00:00:00Z,1.88,8.8,1.49,281.7
13.166666666666657,74.33333333333331,2026-09-01T00:00:00Z,1.83,8.7,1.34,271.4
13.166666666666657,74.41666666666666,2026-09-01T00:00:00Z,1.79,8.7,1.24,264.8
13.166666666666657,74.5,2026-09-01T00:00:00Z,1.76,8.7,1.23,265.0
13.166666666666657,74.58333333333331,2026-09-01T00:00:00Z,1.72,8.7,1.22,265.0
13.166666666666657,74.66666666666666,2026-09-01T00:00:00Z,1.65,8.7,1.19,264.6
13.166666666666657,74.75,2026-09-01T00:00:00Z,1.58,8.7,1.16,264.6
13.166666666666657,80.33333333333331,2026-09-01T00:00:00Z,0.74,14.5,0.55,143.1
13.166666666666657,80.41666666666663,2026-09-01T00:00:00Z,1.12,14.1,0.93,147.3
13.166666666666657,80.5,2026-09-01T00:00:00Z,1.25,13.9,0.98,150.8
13.166666666666657,80.58333333333331,2026-09-01T00:00:00Z,1.34,13.9,1.01,151.7
13.166666666666657,80.66666666666663,2026-09-01T00:00:00Z,1.41,14.0,1.03,152.0
13.166666666666657,80.75,2026-09-01T00:00:00Z,1.46,14.2,1.05,152.0
13.166666666666657,80.83333333333331,2026-09-01T00:00:00Z,1.5,14.3,1.07,152.5
13.166666666666657,80.91666666666663,2026-09-01T00:00:00Z,1.53,14.5,1.09,153.6
13.166666666666657,81.0,2026-09-01T00:00:00Z,1.57,14.6,1.11,154.7
13.25,73.0,2026-09-01T00:00:00Z,2.17,9.1,1.61,281.4
13.25,73.08333333333331,2026-09-01T00:00:00Z,2.18,9.1,1.62,281.5
13.25,73.16666666666666,2026-09-01T00:00:00Z,2.18,9.0,1.62,281.5
13.25,73.25,2026-09-01T00:00:00Z,2.18,10.8,1.62,281.5
13.25,73.33333333333331,2026-09-01T00:00:00Z,2.17,13.4,1.62,281.0
13.25,73.41666666666666,2026-09-01T00:00:00Z,2.16,15.4,1.63,280.5
13.25,73.5,2026-09-01T00:00:00Z,2.14,17.4,1.67,280.9
13.25,73.58333333333331,2026-09-01T00:00:00Z,2.12,16.1,1.68,281.3
13.25,73.66666666666666,2026-09-01T00:00:00Z,2.09,14.0,1.47,281.5
13.25,73.75,2026-09-01T00:00:00Z,2.07,11.6,1.31,281.5
13.25,73.83333333333331,2026-09-01T00:00:00Z,2.04,9.7,1.26,281.7
13.25,73.91666666666666,2026-09-01T00:00:00Z,2.01,8.9,1.3,281.8
13.25,74.0,2026-09-01T00:00:00Z,1.98,8.9,1.53,281.6
13.25,74.08333333333331,2026-09-01T00:00:00Z,1.95,8.9,1.58,277.3
13.25,74.16666666666666,2026-09-01T00:00:00Z,1.91,8.8,1.44,264.1
13.25,74.25,2026-09-01T00:00:00Z,1.86,8.7,1.28,264.1
13.25,74.33333333333331,2026-09-01T00:00:00Z,1.81,8.7,1.16,264.0
13.25,74.41666666666666,2026-09-01T00:00:00Z,1.77,8.6,1.08,264.2
13.25,74.5,2026-09-01T00:00:00Z,1.74,8.6,1.08,264.5
13.25,74.58333333333331,2026-09-01T00:00:00Z,1.69,8.6,1.06,264.4
13.25,74.66666666666666,2026-09-01T00:00:00Z,1.62,8.6,1.03,263.9
13.25,80.33333333333331,2026-09-01T00:00:00Z,0.75,14.4,0.58,145.7
13.25,80.41666666666663,2026-09-01T00:00:00Z,1.05,14.3,0.86,147.6
13.25,80.5,2026-09-01T00:00:00Z,1.23,14.0,0.97,150.9
13.25,80.58333333333331,2026-09-01T00:00:00Z,1.33,13.8,0.99,152.6
13.25,80.66666666666663,2026-09-01T00:00:00Z,1.4,14.0,1.02,152.8
13.25,80.75,2026-09-01T00:00:00Z,1.46,14.1,1.04,152.8
13.25,80.83333333333331,2026-09-01T00:00:00Z,1.5,14.3,1.05,153.2
13.25,80.91666666666663,2026-09-01T00:00:00Z,1.53,14.4,1.06,154.0
13.25,81.0,2026-09-01T00:00:00Z,1.56,14.6,1.02,155.4
13.333333333333329,73.0,2026-09-01T00:00:00Z,2.18,9.1,1.62,281.4
13.333333333333329,73.08333333333331,2026-09-01T00:00:00Z,2.18,9.0,1.63,281.5
13.333333333333329,73.16666666666666,2026-09-01T00:00:00Z,2.18,9.0,1.63,281.5
13.333333333333329,73.25,2026-09-01T00:00:00Z,2.18,9.0,1.63,281.5
13.333333333333329,73.33333333333331,2026-09-01T00:00:00Z,2.17,9.8,1.63,281.0
13.333333333333329,73.41666666666666,2026-09-01T00:00:00Z,2.16,11.9,1.64,280.5
13.333333333333329,73.5,2026-09-01T00:00:00Z,2.14,14.6,1.67,280.9
13.333333333333329,73.58333333333331,2026-09-01T00:00:00Z,2.12,12.8,1.69,281.3
13.333333333333329,73.66666666666666,2026-09-01T00:00:00Z,2.09,10.1,1.7,281.5
13.333333333333329,73.75,2026-09-01T00:00:00Z,2.06,8.9,1.7,281.5
13.333333333333329,73.83333333333331,2026-09-01T00:00:00Z,2.03,8.9,1.7,281.7
13.333333333333329,73.91666666666666,2026-09-01T00:00:00Z,2.0,8.9,1.69,281.8
13.333333333333329,74.0,2026-09-01T00:00:00Z,1.98,8.9,1.67,281.6
13.333333333333329,74.08333333333331,2026-09-01T00:00:00Z,1.95,8.9,1.49,277.3
13.333333333333329,74.16666666666666,2026-09-01T00:00:00Z,1.9,8.8,1.25,264.1
13.333333333333329,74.25,2026-09-01T00:00:00Z,1.85,8.7,1.13,264.1
13.333333333333329,74.33333333333331,2026-09-01T00:00:00Z,1.8,8.7,1.1,264.0
13.333333333333329,74.41666666666666,2026-09-01T00:00:00Z,1.76,8.6,1.09,264.2
13.333333333333329,74.5,2026-09-01T00:00:00Z,1.73,8.6,1.07,264.5
13.333333333333329,74.58333333333331,2026-09-01T00:00:00Z,1.67,8.6,1.05,264.4
13.333333333333329,74.66666666666666,2026-09-01T00:00:00Z,1.55,8.6,1.0,263.9
13.333333333333329,80.41666666666663,2026-09-01T00:00:00Z,0.98,13.7,0.76,147.6
13.333333333333329,80.5,2026-09-01T00:00:00Z,1.2,14.2,0.94,150.9
13.333333333333329,80.58333333333331,2026-09-01T00:00:00Z,1.3,13.6,0.97,152.6
13.333333333333329,80.66666666666663,2026-09-01T00:00:00Z,1.38,13.8,1.0,152.8
13.333333333333329,80.75,2026-09-01T00:00:00Z,1.44,14.1,1.02,152.8
13.333333333333329,80.83333333333331,2026-09-01T00:00:00Z,1.49,14.2,1.03,153.2
13.333333333333329,80.91666666666663,2026-09-01T00:00:00Z,1.52,14.4,1.03,154.0
13.333333333333329,81.0,2026-09-01T00:00:00Z,1.55,14.5,0.97,155.4
13.416666666666657,73.0,2026-09-01T00:00:00Z,2.19,9.0,1.64,280.9
13.416666666666657,73.08333333333331,2026-09-01T00:00:00Z,2.19,9.0,1.65,280.8
13.416666666666657,73.16666666666666,2026-09-01T00:00:00Z,2.19,9.0,1.65,280.8
13.416666666666657,73.25,2026-09-01T00:00:00Z,2.18,9.0,1.64,280.8
13.416666666666657,73.33333333333331,2026-09-01T00:00:00Z,2.17,9.0,1.64,280.2
