lat,lon,timestamp,wind_speed_kmh,wind_direction_deg,gust_speed_kmh
13.1875,74.3125,2026-09-01T00:00:00Z,10.78,342.7,14.56
13.1875,74.4375,2026-09-01T00:00:00Z,16.14,318.5,21.79
13.1875,74.5625,2026-09-01T00:00:00Z,19.55,318.1,26.4
13.1875,74.6875,2026-09-01T00:00:00Z,8.5,1.5,11.47
13.1875,74.8125,2026-09-01T00:00:00Z,4.83,69.9,6.52
13.1875,74.9375,2026-09-01T00:00:00Z,3.11,45.9,4.19
13.1875,75.0625,2026-09-01T00:00:00Z,2.34,357.4,3.16
13.1875,75.1875,2026-09-01T00:00:00Z,2.67,304.5,3.6
13.1875,75.3125,2026-09-01T00:00:00Z,2.92,272.1,3.94
13.1875,75.4375,2026-09-01T00:00:00Z,1.23,263.3,1.66
13.1875,75.5625,2026-09-01T00:00:00Z,4.93,288.3,6.65
13.1875,75.6875,2026-09-01T00:00:00Z,9.3,282.7,12.56
13.1875,75.8125,2026-09-01T00:00:00Z,12.16,274.1,16.42
13.1875,75.9375,2026-09-01T00:00:00Z,12.88,266.3,17.39
13.1875,76.0625,2026-09-01T00:00:00Z,12.79,267.6,17.27
13.1875,76.1875,2026-09-01T00:00:00Z,11.95,270.3,16.14
13.1875,76.3125,2026-09-01T00:00:00Z,10.48,271.6,14.15
13.1875,76.4375,2026-09-01T00:00:00Z,8.53,269.8,11.52
13.1875,76.5625,2026-09-01T00:00:00Z,8.68,269.8,11.71
13.1875,76.6875,2026-09-01T00:00:00Z,8.1,269.5,10.94
13.1875,76.8125,2026-09-01T00:00:00Z,6.6,265.9,8.92
13.1875,76.9375,2026-09-01T00:00:00Z,4.86,255.9,6.57
13.1875,77.0625,2026-09-01T00:00:00Z,5.41,254.6,7.31
13.1875,77.1875,2026-09-01T00:00:00Z,8.2,261.2,11.07
13.1875,77.3125,2026-09-01T00:00:00Z,10.34,264.6,13.96
13.1875,77.4375,2026-09-01T00:00:00Z,10.95,264.7,14.79
13.1875,77.5625,2026-09-01T00:00:00Z,10.66,265.3,14.38
13.1875,77.6875,2026-09-01T00:00:00Z,11.77,270.0,15.89
13.1875,77.8125,2026-09-01T00:00:00Z,12.43,272.5,16.78
13.1875,77.9375,2026-09-01T00:00:00Z,13.06,274.0,17.64
13.1875,78.0625,2026-09-01T00:00:00Z,14.8,277.1,19.98
13.1875,78.1875,2026-09-01T00:00:00Z,14.63,280.2,19.75
13.1875,78.3125,2026-09-01T00:00:00Z,15.65,282.8,21.13
13.1875,78.4375,2026-09-01T00:00:00Z,16.83,283.9,22.73
13.1875,78.5625,2026-09-01T00:00:00Z,17.08,284.2,23.06
13.1875,78.6875,2026-09-01T00:00:00Z,17.21,287.9,23.24
13.1875,78.8125,2026-09-01T00:00:00Z,16.4,286.4,22.14
13.1875,78.9375,2026-09-01T00:00:00Z,14.69,282.7,19.83
13.1875,79.0625,2026-09-01T00:00:00Z,12.38,279.7,16.71
