lat,lon,timestamp,current_speed_ms,current_direction_deg
13.166667,74.75,2026-09-01T00:00:00Z,0.1,234.5
13.166667,80.333336,2026-09-01T00:00:00Z,0.14,30.5
13.166667,80.416664,2026-09-01T00:00:00Z,0.51,7.0
13.166667,80.5,2026-09-01T00:00:00Z,0.67,358.8
13.166667,80.583336,2026-09-01T00:00:00Z,0.61,352.1
13.166667,80.666664,2026-09-01T00:00:00Z,0.52,349.1
13.166667,80.75,2026-09-01T00:00:00Z,0.48,344.6
13.166667,80.833336,2026-09-01T00:00:00Z,0.46,339.2
13.166667,80.916664,2026-09-01T00:00:00Z,0.44,335.1
13.166667,81.0,2026-09-01T00:00:00Z,0.42,332.1
13.25,73.0,2026-09-01T00:00:00Z,0.16,183.2
13.25,73.083336,2026-09-01T00:00:00Z,0.16,181.7
13.25,73.166664,2026-09-01T00:00:00Z,0.16,182.1
13.25,73.25,2026-09-01T00:00:00Z,0.13,182.5
13.25,73.333336,2026-09-01T00:00:00Z,0.13,183.5
13.25,73.416664,2026-09-01T00:00:00Z,0.11,190.1
13.25,73.5,2026-09-01T00:00:00Z,0.11,202.1
13.25,73.583336,2026-09-01T00:00:00Z,0.13,209.1
13.25,73.666664,2026-09-01T00:00:00Z,0.13,211.8
13.25,73.75,2026-09-01T00:00:00Z,0.15,213.1
13.25,73.833336,2026-09-01T00:00:00Z,0.16,218.0
13.25,73.916664,2026-09-01T00:00:00Z,0.18,223.7
13.25,74.0,2026-09-01T00:00:00Z,0.2,226.8
13.25,74.083336,2026-09-01T00:00:00Z,0.19,226.0
13.25,74.166664,2026-09-01T00:00:00Z,0.17,219.7
13.25,74.25,2026-09-01T00:00:00Z,0.16,213.0
13.25,74.333336,2026-09-01T00:00:00Z,0.16,213.2
13.25,74.416664,2026-09-01T00:00:00Z,0.14,223.6
13.25,74.5,2026-09-01T00:00:00Z,0.14,232.3
13.25,74.583336,2026-09-01T00:00:00Z,0.15,218.2
13.25,74.666664,2026-09-01T00:00:00Z,0.13,210.2
13.25,74.75,2026-09-01T00:00:00Z,0.12,217.8
13.25,80.333336,2026-09-01T00:00:00Z,0.14,15.0
13.25,80.416664,2026-09-01T00:00:00Z,0.5,5.6
13.25,80.5,2026-09-01T00:00:00Z,0.7,359.0
13.25,80.583336,2026-09-01T00:00:00Z,0.64,351.7
13.25,80.666664,2026-09-01T00:00:00Z,0.55,348.3
13.25,80.75,2026-09-01T00:00:00Z,0.51,344.3
13.25,80.833336,2026-09-01T00:00:00Z,0.49,340.1
13.25,80.916664,2026-09-01T00:00:00Z,0.46,336.9
13.25,81.0,2026-09-01T00:00:00Z,0.44,333.9
13.333333,73.0,2026-09-01T00:00:00Z,0.16,186.3
13.333333,73.083336,2026-09-01T00:00:00Z,0.17,186.7
13.333333,73.166664,2026-09-01T00:00:00Z,0.16,187.9
13.333333,73.25,2026-09-01T00:00:00Z,0.14,187.5
13.333333,73.333336,2026-09-01T00:00:00Z,0.14,187.0
13.333333,73.416664,2026-09-01T00:00:00Z,0.13,192.8
13.333333,73.5,2026-09-01T00:00:00Z,0.13,201.4
13.333333,73.583336,2026-09-01T00:00:00Z,0.14,207.1
13.333333,73.666664,2026-09-01T00:00:00Z,0.14,210.8
13.333333,73.75,2026-09-01T00:00:00Z,0.14,210.3
13.333333,73.833336,2026-09-01T00:00:00Z,0.15,215.4
13.333333,73.916664,2026-09-01T00:00:00Z,0.17,219.2
13.333333,74.0,2026-09-01T00:00:00Z,0.18,222.6
13.333333,74.083336,2026-09-01T00:00:00Z,0.17,223.1
13.333333,74.166664,2026-09-01T00:00:00Z,0.16,218.1
13.333333,74.25,2026-09-01T00:00:00Z,0.16,213.8
13.333333,74.333336,2026-09-01T00:00:00Z,0.16,214.3
13.333333,74.416664,2026-09-01T00:00:00Z,0.15,223.9
13.333333,74.5,2026-09-01T00:00:00Z,0.15,230.8
13.333333,74.583336,2026-09-01T00:00:00Z,0.17,214.3
13.333333,74.666664,2026-09-01T00:00:00Z,0.11,215.1
13.333333,74.75,2026-09-01T00:00:00Z,0.11,214.0
13.333333,80.333336,2026-09-01T00:00:00Z,0.14,357.6
13.333333,80.416664,2026-09-01T00:00:00Z,0.44,2.9
13.333333,80.5,2026-09-01T00:00:00Z,0.72,358.4
13.333333,80.583336,2026-09-01T00:00:00Z,0.67,351.2
13.333333,80.666664,2026-09-01T00:00:00Z,0.58,347.9
13.333333,80.75,2026-09-01T00:00:00Z,0.54,344.4
13.333333,80.833336,2026-09-01T00:00:00Z,0.51,341.3
13.333333,80.916664,2026-09-01T00:00:00Z,0.48,338.6
13.333333,81.0,2026-09-01T00:00:00Z,0.46,335.5
13.416667,73.0,2026-09-01T00:00:00Z,0.16,190.5
13.416667,73.083336,2026-09-01T00:00:00Z,0.17,192.2
13.416667,73.166664,2026-09-01T00:00:00Z,0.17,193.4
13.416667,73.25,2026-09-01T00:00:00Z,0.16,192.0
13.416667,73.333336,2026-09-01T00:00:00Z,0.16,190.4
13.416667,73.416664,2026-09-01T00:00:00Z,0.16,194.8
13.416667,73.5,2026-09-01T00:00:00Z,0.14,200.1
13.416667,73.583336,2026-09-01T00:00:00Z,0.15,201.2
13.416667,73.666664,2026-09-01T00:00:00Z,0.13,206.8
13.416667,73.75,2026-09-01T00:00:00Z,0.14,207.5
13.416667,73.833336,2026-09-01T00:00:00Z,0.15,214.0
13.416667,73.916664,2026-09-01T00:00:00Z,0.17,216.5
13.416667,74.0,2026-09-01T00:00:00Z,0.16,218.0
13.416667,74.083336,2026-09-01T00:00:00Z,0.15,215.8
13.416667,74.166664,2026-09-01T00:00:00Z,0.13,212.5
13.416667,74.25,2026-09-01T00:00:00Z,0.13,209.5
13.416667,74.333336,2026-09-01T00:00:00Z,0.14,211.1
13.416667,74.416664,2026-09-01T00:00:00Z,0.14,219.5
13.416667,74.5,2026-09-01T00:00:00Z,0.15,218.3
13.416667,74.583336,2026-09-01T00:00:00Z,0.2,207.5
13.416667,74.666664,2026-09-01T00:00:00Z,0.11,227.2
13.416667,80.333336,2026-09-01T00:00:00Z,0.16,348.8
13.416667,80.416664,2026-09-01T00:00:00Z,0.36,359.2
13.416667,80.5,2026-09-01T00:00:00Z,0.75,357.2
13.416667,80.583336,2026-09-01T00:00:00Z,0.71,351.3
13.416667,80.666664,2026-09-01T00:00:00Z,0.61,348.0
13.416667,80.75,2026-09-01T00:00:00Z,0.57,345.0
13.416667,80.833336,2026-09-01T00:00:00Z,0.54,342.3
13.416667,80.916664,2026-09-01T00:00:00Z,0.5,339.5
13.416667,81.0,2026-09-01T00:00:00Z,0.47,336.5
13.5,73.0,2026-09-01T00:00:00Z,0.16,195.1
13.5,73.083336,2026-09-01T00:00:00Z,0.18,197.2
13.5,73.166664,2026-09-01T00:00:00Z,0.19,198.5
13.5,73.25,2026-09-01T00:00:00Z,0.18,196.5
13.5,73.333336,2026-09-01T00:00:00Z,0.17,193.6
13.5,73.416664,2026-09-01T00:00:00Z,0.17,194.9
13.5,73.5,2026-09-01T00:00:00Z,0.16,196.5
13.5,73.583336,2026-09-01T00:00:00Z,0.16,195.0
13.5,73.666664,2026-09-01T00:00:00Z,0.14,200.0
13.5,73.75,2026-09-01T00:00:00Z,0.14,205.7
13.5,73.833336,2026-09-01T00:00:00Z,0.15,214.1
13.5,73.916664,2026-09-01T00:00:00Z,0.16,217.1
13.5,74.0,2026-09-01T00:00:00Z,0.15,215.5
13.5,74.083336,2026-09-01T00:00:00Z,0.14,208.7
13.5,74.166664,2026-09-01T00:00:00Z,0.12,204.5
13.5,74.25,2026-09-01T00:00:00Z,0.11,204.2
13.5,74.333336,2026-09-01T00:00:00Z,0.13,205.8
13.5,74.416664,2026-09-01T00:00:00Z,0.13,216.7
13.5,74.5,2026-09-01T00:00:00Z,0.15,213.6
13.5,74.583336,2026-09-01T00:00:00Z,0.2,202.4
13.5,74.666664,2026-09-01T00:00:00Z,0.1,230.3
13.5,80.25,2026-09-01T00:00:00Z,0.14,345.5
13.5,80.333336,2026-09-01T00:00:00Z,0.18,347.0
13.5,80.416664,2026-09-01T00:00:00Z,0.35,355.2
13.5,80.5,2026-09-01T00:00:00Z,0.8,356.0
13.5,80.583336,2026-09-01T00:00:00Z,0.75,351.7
13.5,80.666664,2026-09-01T00:00:00Z,0.65,348.4
13.5,80.75,2026-09-01T00:00:00Z,0.6,345.8
13.5,80.833336,2026-09-01T00:00:00Z,0.57,343.0
13.5,80.916664,2026-09-01T00:00:00Z,0.52,340.1
13.5,81.0,2026-09-01T00:00:00Z,0.48,337.1
13.583333,73.0,2026-09-01T00:00:00Z,0.16,199.6
13.583333,73.083336,2026-09-01T00:00:00Z,0.18,201.1
13.583333,73.166664,2026-09-01T00:00:00Z,0.2,201.5
13.583333,73.25,2026-09-01T00:00:00Z,0.2,198.5
13.583333,73.333336,2026-09-01T00:00:00Z,0.19,195.1
13.583333,73.416664,2026-09-01T00:00:00Z,0.19,196.2
13.583333,73.5,2026-09-01T00:00:00Z,0.17,195.9
13.583333,73.583336,2026-09-01T00:00:00Z,0.17,191.2
13.583333,73.666664,2026-09-01T00:00:00Z,0.15,195.3
13.583333,73.75,2026-09-01T00:00:00Z,0.15,201.8
13.583333,73.833336,2026-09-01T00:00:00Z,0.15,210.8
13.583333,73.916664,2026-09-01T00:00:00Z,0.15,216.3
13.583333,74.0,2026-09-01T00:00:00Z,0.14,215.1
13.583333,74.083336,2026-09-01T00:00:00Z,0.13,207.3
13.583333,74.166664,2026-09-01T00:00:00Z,0.12,199.7
13.583333,74.25,2026-09-01T00:00:00Z,0.12,194.1
13.583333,74.333336,2026-09-01T00:00:00Z,0.12,201.1
13.583333,74.416664,2026-09-01T00:00:00Z,0.12,222.0
13.583333,74.5,2026-09-01T00:00:00Z,0.15,214.7
13.583333,74.583336,2026-09-01T00:00:00Z,0.19,202.5
13.583333,74.666664,2026-09-01T00:00:00Z,0.09,234.4
13.583333,80.25,2026-09-01T00:00:00Z,0.05,335.5
13.583333,80.333336,2026-09-01T00:00:00Z,0.18,351.8
13.583333,80.416664,2026-09-01T00:00:00Z,0.36,354.6
13.583333,80.5,2026-09-01T00:00:00Z,0.86,355.2
13.583333,80.583336,2026-09-01T00:00:00Z,0.78,351.8
13.583333,80.666664,2026-09-01T00:00:00Z,0.68,349.2
13.583333,80.75,2026-09-01T00:00:00Z,0.63,346.4
13.583333,80.833336,2026-09-01T00:00:00Z,0.59,343.6
13.583333,80.916664,2026-09-01T00:00:00Z,0.53,340.8
13.583333,81.0,2026-09-01T00:00:00Z,0.49,337.6
13.666667,73.0,2026-09-01T00:00:00Z,0.15,202.4
13.666667,73.083336,2026-09-01T00:00:00Z,0.18,203.2
13.666667,73.166664,2026-09-01T00:00:00Z,0.2,202.2
13.666667,73.25,2026-09-01T00:00:00Z,0.22,198.8
13.666667,73.333336,2026-09-01T00:00:00Z,0.22,195.8
13.666667,73.416664,2026-09-01T00:00:00Z,0.21,196.1
13.666667,73.5,2026-09-01T00:00:00Z,0.18,195.4
13.666667,73.583336,2026-09-01T00:00:00Z,0.17,190.6
13.666667,73.666664,2026-09-01T00:00:00Z,0.16,194.0
13.666667,73.75,2026-09-01T00:00:00Z,0.15,200.1
13.666667,73.833336,2026-09-01T00:00:00Z,0.16,204.1
13.666667,73.916664,2026-09-01T00:00:00Z,0.14,212.2
13.666667,74.0,2026-09-01T00:00:00Z,0.13,215.7
13.666667,74.083336,2026-09-01T00:00:00Z,0.13,210.0
13.666667,74.166664,2026-09-01T00:00:00Z,0.12,199.4
13.666667,74.25,2026-09-01T00:00:00Z,0.1,187.0
13.666667,74.333336,2026-09-01T00:00:00Z,0.1,193.0
13.666667,74.416664,2026-09-01T00:00:00Z,0.1,226.2
13.666667,74.5,2026-09-01T00:00:00Z,0.16,211.7
13.666667,74.583336,2026-09-01T00:00:00Z,0.14,206.4
13.666667,74.666664,2026-09-01T00:00:00Z,0.12,212.2
13.666667,80.25,2026-09-01T00:00:00Z,0.07,7.6
13.666667,80.333336,2026-09-01T00:00:00Z,0.17,2.0
13.666667,80.416664,2026-09-01T00:00:00Z,0.35,355.7
13.666667,80.5,2026-09-01T00:00:00Z,0.9,355.0
13.666667,80.583336,2026-09-01T00:00:00Z,0.81,352.1
13.666667,80.666664,2026-09-01T00:00:00Z,0.7,349.9
13.666667,80.75,2026-09-01T00:00:00Z,0.65,347.2
13.666667,80.833336,2026-09-01T00:00:00Z,0.6,344.2
13.666667,80.916664,2026-09-01T00:00:00Z,0.55,341.3
13.666667,81.0,2026-09-01T00:00:00Z,0.5,338.0
13.75,73.0,2026-09-01T00:00:00Z,0.14,203.6
13.75,73.083336,2026-09-01T00:00:00Z,0.18,203.6
13.75,73.166664,2026-09-01T00:00:00Z,0.21,203.0
13.75,73.25,2026-09-01T00:00:00Z,0.23,199.3
13.75,73.333336,2026-09-01T00:00:00Z,0.24,196.0
13.75,73.416664,2026-09-01T00:00:00Z,0.22,196.0
13.75,73.5,2026-09-01T00:00:00Z,0.19,194.6
13.75,73.583336,2026-09-01T00:00:00Z,0.17,192.3
13.75,73.666664,2026-09-01T00:00:00Z,0.17,195.0
13.75,73.75,2026-09-01T00:00:00Z,0.16,199.8
13.75,73.833336,2026-09-01T00:00:00Z,0.15,203.6
13.75,73.916664,2026-09-01T00:00:00Z,0.14,209.1
13.75,74.0,2026-09-01T00:00:00Z,0.12,215.4
13.75,74.083336,2026-09-01T00:00:00Z,0.13,212.5
13.75,74.166664,2026-09-01T00:00:00Z,0.12,201.1
13.75,74.25,2026-09-01T00:00:00Z,0.11,187.8
13.75,74.333336,2026-09-01T00:00:00Z,0.1,194.7
13.75,74.416664,2026-09-01T00:00:00Z,0.13,215.8
13.75,74.5,2026-09-01T00:00:00Z,0.16,216.1
13.75,74.583336,2026-09-01T00:00:00Z,0.1,224.6
13.75,80.25,2026-09-01T00:00:00Z,0.09,16.4
13.75,80.333336,2026-09-01T00:00:00Z,0.17,7.3
13.75,80.416664,2026-09-01T00:00:00Z,0.39,358.6
13.75,80.5,2026-09-01T00:00:00Z,0.94,355.7
13.75,80.583336,2026-09-01T00:00:00Z,0.83,352.4
13.75,80.666664,2026-09-01T00:00:00Z,0.71,350.2
13.75,80.75,2026-09-01T00:00:00Z,0.66,347.6
13.75,80.833336,2026-09-01T00:00:00Z,0.61,344.7
13.75,80.916664,2026-09-01T00:00:00Z,0.55,341.8
13.75,81.0,2026-09-01T00:00:00Z,0.5,338.4
13.833333,73.0,2026-09-01T00:00:00Z,0.14,201.4
13.833333,73.083336,2026-09-01T00:00:00Z,0.18,201.3
13.833333,73.166664,2026-09-01T00:00:00Z,0.21,202.8
13.833333,73.25,2026-09-01T00:00:00Z,0.24,200.9
13.833333,73.333336,2026-09-01T00:00:00Z,0.25,196.4
13.833333,73.416664,2026-09-01T00:00:00Z,0.23,194.9
13.833333,73.5,2026-09-01T00:00:00Z,0.2,193.0
13.833333,73.583336,2026-09-01T00:00:00Z,0.18,193.2
13.833333,73.666664,2026-09-01T00:00:00Z,0.17,196.8
13.833333,73.75,2026-09-01T00:00:00Z,0.16,201.5
13.833333,73.833336,2026-09-01T00:00:00Z,0.14,205.3
13.833333,73.916664,2026-09-01T00:00:00Z,0.13,208.5
13.833333,74.0,2026-09-01T00:00:00Z,0.12,213.0
13.833333,74.083336,2026-09-01T00:00:00Z,0.12,210.5
13.833333,74.166664,2026-09-01T00:00:00Z,0.12,202.7
13.833333,74.25,2026-09-01T00:00:00Z,0.12,198.7
13.833333,74.333336,2026-09-01T00:00:00Z,0.15,205.9
13.833333,74.416664,2026-09-01T00:00:00Z,0.17,214.0
13.833333,74.5,2026-09-01T00:00:00Z,0.15,222.2
13.833333,74.583336,2026-09-01T00:00:00Z,0.1,240.9
13.833333,80.25,2026-09-01T00:00:00Z,0.07,16.4
13.833333,80.333336,2026-09-01T00:00:00Z,0.16,11.0
13.833333,80.416664,2026-09-01T00:00:00Z,0.45,1.8
13.833333,80.5,2026-09-01T00:00:00Z,0.95,356.8
13.833333,80.583336,2026-09-01T00:00:00Z,0.84,353.1
13.833333,80.666664,2026-09-01T00:00:00Z,0.72,350.7
13.833333,80.75,2026-09-01T00:00:00Z,0.65,348.4
13.833333,80.833336,2026-09-01T00:00:00Z,0.59,345.9
13.833333,80.916664,2026-09-01T00:00:00Z,0.54,343.3
13.833333,81.0,2026-09-01T00:00:00Z,0.5,340.0
13.916667,73.0,2026-09-01T00:00:00Z,0.14,197.7
13.916667,73.083336,2026-09-01T00:00:00Z,0.18,197.8
13.916667,73.166664,2026-09-01T00:00:00Z,0.22,200.0
13.916667,73.25,2026-09-01T00:00:00Z,0.25,200.0
13.916667,73.333336,2026-09-01T00:00:00Z,0.26,195.7
13.916667,73.416664,2026-09-01T00:00:00Z,0.24,193.5
13.916667,73.5,2026-09-01T00:00:00Z,0.22,192.8
13.916667,73.583336,2026-09-01T00:00:00Z,0.18,195.4
13.916667,73.666664,2026-09-01T00:00:00Z,0.17,198.9
13.916667,73.75,2026-09-01T00:00:00Z,0.16,202.9
13.916667,73.833336,2026-09-01T00:00:00Z,0.14,206.4
13.916667,73.916664,2026-09-01T00:00:00Z,0.13,207.1
13.916667,74.0,2026-09-01T00:00:00Z,0.12,208.6
13.916667,74.083336,2026-09-01T00:00:00Z,0.12,206.6
13.916667,74.166664,2026-09-01T00:00:00Z,0.11,205.4
13.916667,74.25,2026-09-01T00:00:00Z,0.14,207.3
13.916667,74.333336,2026-09-01T00:00:00Z,0.19,211.7
13.916667,74.416664,2026-09-01T00:00:00Z,0.2,211.1
13.916667,74.5,2026-09-01T00:00:00Z,0.14,221.6
13.916667,74.583336,2026-09-01T00:00:00Z,0.12,230.8
13.916667,80.166664,2026-09-01T00:00:00Z,0.03,0.0
13.916667,80.25,2026-09-01T00:00:00Z,0.05,12.4
13.916667,80.333336,2026-09-01T00:00:00Z,0.13,12.9
13.916667,80.416664,2026-09-01T00:00:00Z,0.45,1.4
13.916667,80.5,2026-09-01T00:00:00Z,0.92,357.5
13.916667,80.583336,2026-09-01T00:00:00Z,0.82,354.3
13.916667,80.666664,2026-09-01T00:00:00Z,0.72,351.7
13.916667,80.75,2026-09-01T00:00:00Z,0.64,349.6
13.916667,80.833336,2026-09-01T00:00:00Z,0.58,347.4
13.916667,80.916664,2026-09-01T00:00:00Z,0.53,345.2
13.916667,81.0,2026-09-01T00:00:00Z,0.49,342.2
14.0,73.0,2026-09-01T00:00:00Z,0.13,194.9
14.0,73.083336,2026-09-01T00:00:00Z,0.18,194.6
14.0,73.166664,2026-09-01T00:00:00Z,0.23,195.7
14.0,73.25,2026-09-01T00:00:00Z,0.26,196.1
14.0,73.333336,2026-09-01T00:00:00Z,0.28,193.6
14.0,73.416664,2026-09-01T00:00:00Z,0.25,193.9
14.0,73.5,2026-09-01T00:00:00Z,0.23,195.2
14.0,73.583336,2026-09-01T00:00:00Z,0.2,196.8
14.0,73.666664,2026-09-01T00:00:00Z,0.19,199.7
14.0,73.75,2026-09-01T00:00:00Z,0.16,204.1
14.0,73.833336,2026-09-01T00:00:00Z,0.14,206.6
14.0,73.916664,2026-09-01T00:00:00Z,0.13,205.1
14.0,74.0,2026-09-01T00:00:00Z,0.13,203.4
14.0,74.083336,2026-09-01T00:00:00Z,0.11,201.3
14.0,74.166664,2026-09-01T00:00:00Z,0.1,205.3
14.0,74.25,2026-09-01T00:00:00Z,0.14,208.5
14.0,74.333336,2026-09-01T00:00:00Z,0.2,209.0
14.0,74.416664,2026-09-01T00:00:00Z,0.19,211.8
14.0,74.5,2026-09-01T00:00:00Z,0.1,252.1
14.0,80.166664,2026-09-01T00:00:00Z,0.01,6.3
14.0,80.25,2026-09-01T00:00:00Z,0.03,8.9
14.0,80.333336,2026-09-01T00:00:00Z,0.13,7.7
14.0,80.416664,2026-09-01T00:00:00Z,0.46,359.3
14.0,80.5,2026-09-01T00:00:00Z,0.9,357.5
14.0,80.583336,2026-09-01T00:00:00Z,0.8,355.5
14.0,80.666664,2026-09-01T00:00:00Z,0.71,353.0
14.0,80.75,2026-09-01T00:00:00Z,0.63,350.9
